T020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
T020203,1,3,2,3,1,3,3,2,3,3,6,5,6,6,8,7,7,7,7,8,8,8,9,8,8,9,10,8,9,7,8,8,9,7,8,8,8,7,6,8,6,6,7,8,9,7,6,8,8,8,8,8,7,8,9,10,8,9,11,7,11,9,7,10,7,10,9
T020301,2,1,1,3,3,1,2,1,0,3,1,2,4,1,2,1,2,3,5,4,7,5,1,3,4,5,2,5,5,5,4,2,5,5,2,5,3,4,2,5,1,2,2,5,3,6,6,3,6,2,5,4,3,4,2,2,4,0,1,1,4,7,2,1,1,3,3
T020302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
T020303,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,2,1,0,1,0,2,1,1,2,3,0,0,4,0,0,1,0,0,3,1,0,0
T020401,0,1,0,2,1,0,1,0,0,0,1,1,0,1,1,1,1,1,2,2,3,2,4,1,1,2,3,1,1,1,3,3,1,3,2,2,3,4,1,1,2,2,2,3,1,1,5,4,6,4,5,3,6,6,4,1,4,2,1,1,2,1,3,3,2,3,1
T020402,0,0,0,1,1,0,1,0,1,0,0,0,2,1,2,1,2,0,0,1,1,2,2,1,0,1,1,1,0,0,0,0,1,5,1,0,3,3,0,1,3,2,1,1,1,2,1,2,2,2,1,3,0,4,3,2,2,0,0,3,0,0,2,0,1,2,0
T020501,4,7,2,3,1,3,2,1,2,4,2,4,6,3,4,6,7,7,7,7,7,7,5,9,7,5,8,10,8,11,12,10,16,10,8,13,17,12,17,14,16,16,14,18,13,13,17,17,20,17,19,16,17,21,18,28,24,22,23,24,14,14,18,20,24,15,16
T020502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T020681,4,4,2,6,4,2,6,2,4,5,1,2,3,3,4,3,3,3,2,3,4,3,5,4,5,3,5,6,6,5,5,7,5,5,9,7,9,7,5,8,6,7,11,13,8,9,7,10,8,8,9,8,7,10,10,9,9,10,11,10,6,5,8,8,5,6,4
